test.a test.b sim.mean sim.sem
<<<<<<< HEAD
0.51 0.9 12.5692243122074 0.986795560729718
0.53 0.9 14.1030057685555 1.08235612826069
0.55 0.9 14.6332212344282 1.04482692321848
0.57 0.9 13.738001655821 1.07643804400943
0.59 0.9 13.2643575771451 0.987797583639791
0.61 0.9 13.5485108718614 1.01428639942442
0.63 0.9 14.0456063960745 1.02651384174523
0.65 0.9 13.39618455297 1.10784058187391
0.67 0.9 13.9833423239869 1.02826458057593
0.69 0.9 16.1716038972335 1.17016878769047
0.71 0.9 15.1724085903092 1.11734183337106
0.73 0.9 15.8073758308186 1.07520828904108
0.75 0.9 16.0728482084918 1.05616601452086
0.77 0.9 16.7521978542371 1.21892554341617
0.79 0.9 15.881256323629 1.03797219672883
0.81 0.9 16.8549994237441 1.12913873253146
0.83 0.9 19.5828851858641 1.10605075986302
0.85 0.9 15.4720617961503 1.16047107183472
0.87 0.9 20.2762071086563 1.36193232175196
0.89 0.9 19.954896934695 1.19172403945476
0.91 0.9 20.9879675511273 1.28482923494248
0.93 0.9 25.0691408300069 1.41396814971617
0.95 0.9 28.1542449859207 1.66654858793898
0.97 0.9 34.2447837129629 1.89448884633545
0.99 0.9 51.5956470402559 2.18994487000057
=======
0.51 0.9 13.5307296298918 1.01860974861866
0.53 0.9 12.7783961346233 1.05742746006357
0.55 0.9 13.6869716875502 0.896282726300795
0.57 0.9 13.8752568641898 1.07527194007854
0.59 0.9 13.6386732684517 1.00084106214866
0.61 0.9 14.2670184742703 1.10086770606517
0.63 0.9 15.3105542804408 1.12666437065069
0.65 0.9 12.3654541434121 0.811065581638407
0.67 0.9 14.2497916867689 0.972781335052338
0.69 0.9 13.1910504622178 0.92898562587311
0.71 0.9 14.7824972901675 0.989022515400621
0.73 0.9 15.1897664380335 1.03568579683199
0.75 0.9 19.1367348648441 1.08078746048298
0.77 0.9 15.9560296354734 1.20009925791209
0.79 0.9 16.7948853278243 1.11937087421079
0.81 0.9 17.2792583894825 1.12819506354333
0.83 0.9 18.7404915930243 1.17497991289092
0.85 0.9 19.8491294899097 1.16713968706365
0.87 0.9 19.4358330445885 1.19061284930186
0.89 0.9 22.6515468145348 1.19267890268949
0.91 0.9 20.6915047519485 1.27420682993276
0.93 0.9 24.2182359211054 1.30190630411714
0.95 0.9 25.8577732206304 1.54151083986536
0.97 0.9 33.8581398080878 1.64536428655751
0.99 0.9 54.8679273218653 2.00732253873176
>>>>>>> origin/master
